Diagnostic,Implication,,Prism's Ranges ,Where to get
Absolute Eosinophils measures the number of eosinophils. Eosinophils measures the percentage of white blood cells that are eosinophils. Eosinophils are immune cells that respond to infections caused by parasites and play a role in allergic reactions. Elevated levels can indicate parasitic infection or allergy.
Absolute Lymphocytes measures the number of lymphocytes. Lymphocytes measures the percentage of white blood cells that are lymphocytes. Lymphocytes are white blood cells that exist in both the blood and the lymphatic system and are the keys to adaptive immunity, the recognition and memory of pathogens. Lymphocytes are divided into three types. The B lymphocytes (B cells) are antibody-producing cells that are essential for acquired, antigen-specific immune responses. The second type are T lymphocytes (T cells) some T cells help the body distinguish between ""self"" and ""non-self"" antigens while others initiate and control the extent of an immune response, boosting it as needed and then slowing it as the condition resolves. Other types of T cells directly attack and neutralize virus-infected or cancerous cells. The third type are natural killer cells (NK cells) that directly attack and kill abnormal cells such as cancer cells or those infected with a virus. High lymphocyte counts can be the result of infection or stress, while low levels can be the result of vitamin D deficiency.",,,Ulta Lab Tests
MPV,"Mean Platelet Volume (MPV) measures the average size of the platelets. A low MPV can be suggestive of an inflammatory response as the body is producing newer, small platelets.",,8.75-11.25 fL,
PLATELET COUNT,"Platelets are cells that facilitate blood clotting as a part of the inflammatory or wound healing process. Measures above normal can suggest the presence of chronic inflammation. Low levels can suggest deficiencies of nutrients like iron and vitamins B9 and B12, or due to infection.",,205-335 thousand / uL,Ulta Lab Tests
HEMATOCRIT,"Hematocrit is a blood test that determines the proportion of red blood cells in the total blood volume. This measurement is influenced by both the quantity and the size of red blood cells. A low hematocrit is indicative of anemia, where there is a lack of red blood cells, which deliver oxygen around the body to produce energy. This can lead to symptoms such as fatigue and shortness of breath. Anemia can be driven by numerous factors, including a lack of iron, or vitamins B2, B9 or B12, hypothyroidism, chronic inflammation, and stress. High hematocrit can be the result of low oxygen delivery into cells, resulting in a compensatory overproduction of red blood cells.",,"41.375-47.125% (male)
37.5-42.5% (female)",Ulta Lab Tests
Zonulin (Plasma or stool),"Zonulin is a protein that helps seal the lining of the intestine together. Zonulin prevents permeability of the gut lining to bacteria and food antigens, which can cause intestinal and systemic inflammation. High zonulin levels are indicative of a breakdown of this barrier. ",,,
Bilirubin ($3.25),"Bilirubin is a component of bile acids, which are produced by the liver. High bilirubin suggests damage to the liver, as it leaks out from the liver into the blood.",,0.0-1.2 mg/dL,
Absolute Blasts,Absolute Blasts measures the number of blasts. Blasts are immature forms of white blood cells. High levels can indicate the presence of an underlying infection.,,,
Blasts,Blasts measures the pecentage of white blood cells that are blasts. Blasts are immature forms of white blood cells. High levels can indicate the presence of an underlying infection.,,,
Absolute Neutrophils,"Absolute neutrophils measures the number of all types of neutrophils. Neutrophils are one of the major white blood cells, involved in the response to infectious agents, such as bacteria, fungus and viruses. A high neutrophil count can be indicative of a bacterial, viral or fungal infection or other underlying inflammation. Low neutrophils can be the result of chronic infection as the immune cells become depleted fighting pathogens, or as a result of B9, B12 or copper deficiency.",,3075-6225 cells/uL,
Absolute band neutrophils,"Absolute band neutrophils measures the number of band neutrophils. Neutrophils are one of the major white blood cells, involved in the response to infectious agents, such as bacteria, fungus and viruses. Band neutrophils are immature, young neutrophils. Their levels being out of range can be indicative of a systemic bacterial or viral infection.",,,
Band neutrophils ,"Band neutrophils measures the percentage of white blood cells that are band neutrophils. Neutrophils are one of the major white blood cells, involved in the response to infectious agents, such as bacteria, fungus and viruses. Band neutrophils are immature, young neutrophils. Their levels being out of range can be indicative of a systemic bacterial or viral infection.",,,
Reactive Lymphocytes,"Reactive Lymphocytes measures lymphocytes that have been ""activated"" due to antigen stimulation. Lymphocytes are divided into three types. The B lymphocytes (B cells) are antibody-producing cells that are essential for acquired, antigen-specific immune responses. The second type are T lymphocytes (T cells) some T cells help the body distinguish between ""self"" and ""non-self"" antigens while others initiate and control the extent of an immune response, boosting it as needed and then slowing it as the condition resolves. Other types of T cells directly attack and neutralize virus-infected or cancerous cells. The third type are natural killer cells (NK cells) that directly attack and kill abnormal cells such as cancer cells or those infected with a virus.",,,
White Blood Cell count,"A white blood cell (WBC) count measures the total number of white blood cells (WBCs), which are immune cells. A high WBC count can be indicative of a bacterial, viral or fungal infection or other underlying inflammation. Low WBC count can be the result of chronic infection as the immune cells become depleted fighting pathogens, or as a result of B9, B12 or copper deficiency.",,5.3-9.0 x10e3/uL,
Aldolase,"Aldolase is an enzyme concentrated within the liver and muscles primarily, and thus its elevation in the blood suggests damage to these tissues.",,,
Aspartate aminotransferase (AST),"AST is an enzyme concentrated within the liver primarily, and thus its elevation in the blood suggests damage to the liver. This damage is a result of oxidative stress and inflammation.",,0-30 IU/L,
Alanine aminotransferase (ALT),"ALT is an enzyme concentrated within the liver primarily, and thus its elevation in the blood suggests damage to the liver. This damage is a result of oxidative stress and inflammation.",,0-30 IU/L,
Gamma glutamyl transferase (GGT) ($3.75),"GGT is an enzyme concentrated within the liver primarily, and thus its elevation in the blood suggests damage to the liver. ",,0-40 IU/L,
Baking soda test (at home gastric acid assessment),"Directly measuring stomach acid is not widely available, however this test can help confirm a suspicion of low stomach acid from various symptoms.",,,Click here to see how to perform
"Stomach acid at home test: Take one pill of Betaine HCl (can be purchased here) with a meal with protein per day. If acid reflux or burning pain is experienced, then stomach acid production is adequate. If not, increase to 2 pills before a meal with protein. If there is still no burning or acid reflux, then continue to increase by one pill per day before a meal. If 3-4 pills must be taken before experiencing any reflux, then low stomach acid production is likely. ","Directly measuring stomach acid is not widely available, however this test can help confirm a suspicion of low stomach acid from various symptoms.",,,
Mean corpuscular volume (MCV),"Mean corpuscular volume (MCV) is a measurement of the average size (volume) of red blood cells. Low MCV can indicate iron deficiency anemia due to poor dietary intake, inflammation or stress, or heavy metal poisoning. High MCV can be a result of hypothyroidism or megaloblastic anemia, driven by vitamin B9 or B12 deficiency. ",,85-95 fL,
Mean corpuscular hemoglobin (MCH),"Mean corpuscular hemoglobin (MCH) is an average measure of the hemoglobin content per red blood cell. It adds additional context to the hemoglobin measure, elucidating the amount of hemoglobin relative to the amount of red blood cells. Low levels can suggest iron deficiency anemia due to poor dietary intake, inflammation or stress, but elevated levels of hemoglobin may be an adaptive response to low oxygen availability. High levels can also be indicative of megaloblastic anemia, where red blood cells become enlarged specifically due to deficiencies of vitamins B9 and B12, and thus each cell carries more hemoglobin than normal.",,28.5-31.5 pg,
Mean corpuscular hemoglobin concentration (MCHC),"Mean corpuscular hemoglobin concentration (MCHC) indicates the concentration of hemoglobin per unit volume within a red blood cell. Unlike MCH, MCHC is the hemoglobin content relative to the cell's volume rather than the number of cells. MCHC does not become elevated in megaloblastic anemia, as the hemoglobin to cell volume proportion remains constant even if the cell volume increases. Low levels still point to iron deficiency anemia due to poor dietary intake, inflammation or stress.",,33-35 g/dL,
Red cell distribution width (RDW),"Red cell distribution width (RDW) is a calculation of variation in size of red blood cells. When it is high, it can point to being in the early stages of either iron deficiency or megaloblastic anemia, depending on MCV, MCHC and MCH, as some cells are affected in size while others have not been.",,12-14%,
Red blood cell count,"A Red Blood Cell (RBC) count is a blood test that tells how many red blood cells you have. RBCs contain hemoglobin, which carries oxygen to tissues to fuel energy metabolism. Low RBC counts indicate anemia due to any cause, while high levels can indicate poor tissue oxygenation. High RBC can also indicate parasitic infection, as these pathogens can invade red blood cells and cause the body to produce more adaptively.",,4.60-5.40 million/uL,TO BE DETERMINED
Blood Glucose ($5.95),"Glucose is the body’s primary source of fuel. Low levels may suggest issues with the liver, since this organ is responsible for storing and producing glucose in between meals. Low levels can also be due to a biotin or manganese deficiency, since these nutrients are required for the liver to make glucose during periods without any dietary carbohydrate. High levels are indicative of inadequate glucose metabolism, stress or insulin resistance.",,70-90 mg/dL,Ulta Lab Tests
Hemoglobin (Hgb) ($9.95),"Hemoglobin is the primary oxygen carrying protein in our red blood cells, fueling the body's metabolism. Hemoglobin level is highly dependent on iron status, but elevated levels of hemoglobin may be an adaptive response to low oxygen availability.",,13.2-17.1 g/dL,Ulta Lab Tests
Unsaturated Iron Binding Capacity (UIBC),"This is a metric of how much iron the proteins in your blood are capable of binding, and thus it is inversely related to the total amount of iron stores in the body. A high UIBC is indicative of iron deficiency, while a low TIBC is indicative of iron excess.",,,
Total Iron Binding Capacity (TIBC),"This is a metric of how much iron the proteins in your blood are capable of binding, and thus it is inversely related to the total amount of iron stores in the body. A high TIBC is indicative of iron deficiency, while a low TIBC is indicative of iron excess.",,293-381 mcg/dL,Ulta Lab Tests
β-thalassemia screen (Hemoglobin Electrophoresis),"A pattern of low MCV, high RBC count, normal iron, and normal or high hemoglobin is classic for thalassemia trait. Thalassemia is an inherited defect in globin chain production that leads to small red cells with less hemoglobin per cell, but the bone marrow compensates by making many more RBCs, keeping total hemoglobin normal or high. Hemoglobin electrophoresis is useful here because it can detect abnormal hemoglobin fractions. For example, β-thalassemia trait typically shows elevated HbA₂, confirming the diagnosis and distinguishing it from other microcytic conditions. Most people with trait are asymptomatic, though some may experience mild fatigue, pallor, or slightly reduced exercise tolerance, especially during illness or pregnancy.",,,
Transferrin ($12.45),"Transferrin is the major iron carrying proteins in the body. High transferrin can indicate iron deficiency, if it is accompanied by a relatively high iron binding capacity and low saturation. Low transferrin is indicative of iron excess.",,188-341 mg/dL,Ulta Lab Tests
% Saturation,"Refers to the proportion of the transferrin protein that contains iron. Low levels suggest iron deficiency, while high levels can suggest iron overload.",,20-50%,Ulta Lab Tests
"Ferritin, Serum","Ferritin is the primary protein that stores iron in cells. Its levels being elevated in the serum (which does not contain cells) indicates cell damage and inflammation, as the protein ""leaks"" into the serum and also participates in the inflammatory response. High levels can also indicate iron overload, while low levels can be the result of iron deficiency. ",,50-150 ng/mL,Ulta Lab Tests
Iron and Total Iron Binding Capacity (TIBC) ($9.95),"Iron deficiency can create symptoms such as fatigue, while excess iron can drive tissue damage and inflammation, resulting in a multitude of symptoms. This package will give a good understanding of one’s iron status, which is suspected to be deranged with the client’s given information. Total iron binding capacity (TIBC) is a metric of how much iron the proteins in your blood are capable of binding, and thus it is inversely related to the total amount of iron stores in the body. A high TIBC is indicative of iron deficiency, while a low TIBC is indicative of iron excess. Saturation % to the proportion of the transferrin protein that contains iron. Low levels suggest iron deficiency, while high levels can suggest iron overload.",,,Ulta Labs
"Ferritin, Iron and TIBC Panel ($16.90)","Iron deficiency can create symptoms such as fatigue, while excess iron can drive tissue damage and inflammation, resulting in a multitude of symptoms. This package will give a good understanding of one’s iron status, which is suspected to be deranged with the client’s given information. 

Ferritin is the primary protein that stores iron in cells. Its levels being elevated in the serum (which does not contain cells) indicates cell damage and inflammation, as the protein ""leaks"" into the serum and also participates in the inflammatory response. High levels can also indicate iron overload, while low levels can be the result of iron deficiency. 
Total iron binding capacity (TIBC) is a metric of how much iron the proteins in your blood are capable of binding, and thus it is inversely related to the total amount of iron stores in the body. A high TIBC is indicative of iron deficiency, while a low TIBC is indicative of iron excess. 
Saturation % to the proportion of the transferrin protein that contains iron. Low levels suggest iron deficiency, while high levels can suggest iron overload.",,,Ulta Lab Tests
Pregnenolone ($47.97),"Pregnenolone is one of the “youth” steroids that declines with aging and stress. It is perhaps the body’s primary endogenous anti-stress hormone. It can lower HPA axis function, counteract excess estrogen, enhances mitochondrial function and structure, and has some potent anti-inflammatory properties. Pregnenolone also has several neuroprotective, cognitive, anti-addiction and mood enhancing properties. Metabolites of pregnenolone have a key gut protective effect and become depleted when the gut becomes inflamed. Pregnenolone is the “mother of all steroid hormones,” from which all other steroid hormones are synthesized.",,,Ulta Lab Tests
Iron,"Iron deficiency can create symptoms such as fatigue, while excess iron can drive tissue damage and inflammation, resulting in a multitude of symptoms. This metric determines the total amount of iron in the blood. High amounts are indicative of iron overload, while low levels can indicate deficiency. ",,,Ulta Lab Tests
Blood Urea Nitrogen (BUN),"Stress hormones, such as cortisol, adrenaline and noradrenaline break down our tissue protein, which gets metabolized by the liver and excretes urea-nitrogen as a byproduct. Thus, a high BUN can indicate elevations in these mediators. A high BUN can also indicate impaired kidney function as they are responsible for excreting the excess nitrogen from the blood.",,6-20 mg/dL,Ulta Lab Tests
ABSOLUTE EOSINOPHILS,"Absolute Eosinophils measures the number of eosinophils. Eosinophils are immune cells that respond to infections caused by parasites and play a role in allergic reactions. Elevated levels can indicate parasitic infection or allergy, while low levels are indicative of chronic stress.",,136.25-378.75 cells/uL,
Micronutrient profile ($420),"The Vibrant Wellness Micronutrient Profile is a functional blood test that measures both extracellular (serum) and intracellular (lymphocyte) nutrient status, giving a deeper view than standard serum labs alone. This dual approach helps identify not just current nutrient levels, but also how well nutrients are getting into cells and being utilized for metabolism. It covers vitamins, minerals, amino acids, antioxidants, fatty acids, and metabolites, providing a broad picture of nutritional sufficiency and functional reserves. It’s useful for tailoring diet and supplementation strategies, uncovering hidden deficiencies linked to fatigue, poor immunity, or chronic disease, and monitoring progress over time.",,,Vibrant Wellness
"NutrEval ($429 base, more for add ons)","The Genova NutrEval is a comprehensive analysis done using both urine and in blood, yielding 125 biomarkers. It covers micronutrient status and 4 heavy metals, in addition to urinary organic acids and plasma amino acids. Organic acids are intermediates of metabolism, and their measurement in urine, alongside plasma amino acids, is used to evaluate specific errors in metabolism. These errors can be any malfunctioning in any metabolic process: from the generation of energy from carbohydrates or fats to the synthesis of certain neurotransmitters and more. Errors of metabolism can result in any symptom and may not be identified by standard bloodwork.",,,Genova Diagnostics
Rheumetoid Factor,"Rheumatoid factor (RF) is an autoantibody initially identified in rheumatoid arthritis. It targets the Fc region of IgG, with various RFs recognizing different sections of this region. RF and IgG combine to form immune complexes, which play a role in the disease by promoting chronic inflammation and causing joint damage in the synovium and cartilage.",,<14 IU/mL,
DUTCH Complete ($300),"The DUTCH test yields an in-depth analysis on steroid hormone status. The test utilizes urine samples and probes for dozens of steroid hormones and their metabolites, providing a full picture of an individual’s hormones tied to sexual function, stress, cognitive function and more.",,,DUTCH
Mold IgE Panel ($189),"Mycotoxins are metabolites produced by fungi like mold, that can infest your home, vehicle or workspace as one of the most common environmental pollutants. These mycotoxins have wide ranging negative health effects by contributing to systemic inflammation, immune system dysregulation, bacterial overgrowth, gut hypersensitivity and mitochondrial dysfunction. The Mold IgE Panel analyzes the presence of immune reactivity to mycotoxins in blood.",,,US BioTek Laboratories
Mycotoxin profile ($299),"Mycotoxins are metabolites produced by fungi like mold, that can infest your home, vehicle or workspace as one of the most common environmental pollutants. These mycotoxins have wide ranging negative health effects by contributing to systemic inflammation, immune system dysregulation, bacterial overgrowth, gut hypersensitivity and mitochondrial dysfunction. The Mold Toxicity Test analyzes the presence of mycotoxins in urine.",,,US BioTek Laboratories
Comprehensive Heavy Metals Urinalysis (Urine) ($133),"Accumulation of heavy metals can result in a variety of seemingly unexplainable symptoms. Precision Point Diagnostics’ Heavy Metal Urinalysis can be collected over 24 hours, or over a specified collection time, to detect toxic metal exposures. Urinary heavy metals tend to be higher when heavy metal exposure is longer term, and can be good to test in conjunction with blood heavy metals for a more comprehensive view.",,,Precision Point Diagnostics
"Heavy Metals Panel II, Blood ($227.77)","Accumulation of heavy metals in the body can result in a variety of seemingly unexplainable symptoms. These metals can drive oxidative stress, inflammation and can disrupt normal cellular function by inhibiting enzymes and signaling pathways. This heavy metal panel determines the levels of the key heavy metals in circulation, indicative of a relatively recent exposure to heavy metals.",,,Ulta Lab Tests
Immunoglobulin E (IgE),"Immunoglobulin E (IgE) is a type of antibody that plays a critical role in mediating allergies and the response to infection. Elevated levels can suggest the presence of an underlying allergy or chronic bacterial, fungal or parasitic infection.",,0-100IU/mL,
Lipoprotein(a),"Lipoprotein(a) is a carrier of various fat soluble substances, primarily triglycerides and cholesterol. It is considered a risk factor for heart disease due to pro-inflammatory and pro-clotting properties. One of its primary functions is to sequester oxidized LDL, a toxic byproduct of excess polyunsaturated fat intake and oxidative damage. Elevated levels can thus be a proxy for these processes.",,,
Homocysteine ($22.95),"Homocysteine is a compound that is an intermediate of the methylation process. Methylation is critical to synthesizing and modifying DNA, neurotransmitters, and other important molecules within the body. Homocysteine can accumulate when there are deficiencies of vitamins B2, B6, B9 and B12, or nutrients choline, betaine, or glycine. It has numerous deleterious effects, contributing to oxidative stress, inflammation, mitochondrial dysfunction and excess excitation in the brain. Elevated homocysteine has been found in numerous inflammatory conditions.",,<6 umol/L,Ulta Lab Tests
D-Dimer ($54.28),"The D-dimer test measures a protein fragment produced when a blood clot is broken down. Elevated levels suggest active clot formation and degradation, making it useful for detecting conditions like deep vein thrombosis (DVT), pulmonary embolism (PE), or ongoing microclotting, as seen in long COVID. While a high D-dimer indicates clot activity, it’s nonspecific and should be interpreted alongside other clinical findings.",,,
Sed Rate by Modified Westergren (ESR) ($22),"The erythrocyte sedimentation rate (ESR or sed rate) measures how quickly red blood cells, in anticoagulated whole blood, settle at the bottom of a standardized tube over the course of one hour. It serves as a non-specific indicator of inflammation. ESR is affected by the clumping of red blood cells, known as aggregation. Blood plasma proteins, primarily fibrinogen, encourage the formation of red cell clusters. While aggregation occurs even at normal physiological fibrinogen levels, these levels tend to rise during inflammatory processes, resulting in an elevated ESR.",,0-14MM/HR,Ulta Lab Tests
hs-CRP ($14.95),"C-reactive protein, a substance produced by the liver in response to inflammation in the body. It is a non-specific marker of inflammation and is used to evaluate the presence and intensity of inflammation. The CRP test helps assess the severity of an inflammation that may drive symptoms.",,<1 mg/L,Ulta Lab Tests
GI-MAP,"Suspected bacterial, fungal or parasitic overgrowths, which contribute to numerous systemic and gastrointestinal symptoms, can be detected using stool samples.",,,
Alkaline Phosphatase (ALP),"This is an enzyme that plays a critical role in maintaining intestinal homeostasis, reducing inflammation, and detoxifying endotoxin. Elevated levels suggest liver damage or intestinal inflammation.",,44-121 IU/L,
Absolute Monocytes,"Absolute Monocytes measures the number of monocytes. Monocytes are immune cells that can mature into phagocytes, which are cells that engulf and destroy pathogens. Elevated levels can be suggestive of an underlying infection.",,387.5-762.5 cells/uL,
Monocytes,"Monocytes measures the percentage of white blood cells that are monocytes. Monocytes are immune cells that can mature into phagocytes, which are cells that engulf and destroy pathogens. Elevated levels can be suggestive of an underlying infection.",,,
Absolute myelocytes,Absolute myelocytes measures the number of myelocytes. Myelocytes are a type of young and immature forms of white blood cells that are yet to differentiate into their final cell type.,,,
Myelocytes,Myelocytes measures the percentage of white blood cells that are myelocytes. Myelocytes are a type of young and immature forms of white blood cells that are yet to differentiate into their final cell type.,,,
Absolute metamyelocytes,Absolute metamyelocytes measures the number of myelocytes. Metamyelocytes are a type of young and immature forms of white blood cells that are yet to differentiate into their final cell type.,,,
Metamyelocytes,Metamyelocytes measures the percentage of white blood cells that are metamyelocytes. Metamyelocytes are a type of young and immature forms of white blood cells that are yet to differentiate into their final cell type.,,,
Absolute promyelocytes,Absolute promyelocytes measures the number of myelocytes. Promyelocytes are a type of young and immature forms of white blood cells that are yet to differentiate into their final cell type.,,,
Promyelocytes,Promyelocytes measures the percentage of white blood cells that are metamyelocytes. Metamyelocytes are a type of young and immature forms of white blood cells that are yet to differentiate into their final cell type.,,,
Absolute nucleated red blood cells,"Absolute nucleated red blood cells measures the number of nucleated red blood cells. Nucleated red blood cells are red blood cell precursors. A high level of nucleated red blood cells suggests a high demand for the genesis of new red blood cells, often indicative of conditions including anemia, myelofibrosis, thalassemia, miliary tuberculosis, cancers involving bone marrow (myelomas, leukemias, lymphomas), and in chronic hypoxemia.",,,
Nucleated red blood cells ,"Nucleated red blood cells measures the percentage of red blood cells that are nucleated. Nucleated red blood cells are red blood cell precursors. A high level of nucleated red blood cells suggests a high demand for the genesis of new red blood cells, often indicative of conditions including anemia, myelofibrosis, thalassemia, miliary tuberculosis, cancers involving bone marrow (myelomas, leukemias, lymphomas), and in chronic hypoxemia.",,,
LDL Particle Number,"LDL cholesterol is the most common circulating cholesterol containing lipoprotein, which can be thought of as a ""boat"" that carries around fat soluble substances in the blood. HDL is another type of lipoprotein that primarily carries cholesterol. If these lipoproteins become too rich in triglycerides, which are the types of fat stored in fat tissue, they become smaller and more dense. A predominance of small, dense LDL particles (subclass pattern B) is linked to higher levels of triglyceride-rich lipoproteins and lower HDL levels compared to individuals with predominantly larger LDL particles (pattern A). These smaller lipoproteins are more susceptible to the damage that causes atherosclerosis or the clotting of arteries.",,,
LDL Small,,,,
LDL Medium,,,,
HDL Large,,,,
LDL Pattern,,,,
LDL Peak Size,,,,
Ochratoxin A,"Ochratoxin A is a type of mycotoxin, a compound produced my mold and other fungi. Exposure can be from airborne sources such as mold accumulation in water damaged buildings, or from food. It can induce mitochondrial dysfunction, oxidative stress and increase endotoxin levels systemically. It is capable of causing liver damage and increasing inflammation in the gut.",,,